"date","events"
"8/29/2013","Clear"
"8/30/2013","Clear"
"8/31/2013","Clear"
"9/1/2013","Clear"
"9/2/2013","Clear"
"9/3/2013","Clear"
"9/4/2013","Clear"
"9/5/2013","Clear"
"9/6/2013","Clear"
"9/7/2013","Clear"
"9/8/2013","Clear"
"9/9/2013","Clear"
"9/10/2013","Clear"
"9/11/2013","Clear"
"9/12/2013","Fog"
"9/13/2013","Clear"
"9/14/2013","Clear"
"9/15/2013","Clear"
"9/16/2013","Clear"
"9/17/2013","Clear"
"9/18/2013","Clear"
"9/19/2013","Clear"
"9/20/2013","Clear"
"9/21/2013","Rain"
"9/22/2013","Clear"
"9/23/2013","Clear"
"9/24/2013","Clear"
"9/25/2013","Clear"
"9/26/2013","Clear"
"9/27/2013","Clear"
"9/28/2013","Clear"
"9/29/2013","Clear"
"9/30/2013","Fog"
"10/1/2013","Clear"
"10/2/2013","Clear"
"10/3/2013","Clear"
"10/4/2013","Clear"
"10/5/2013","Clear"
"10/6/2013","Clear"
"10/7/2013","Clear"
"10/8/2013","Clear"
"10/9/2013","Clear"
"10/10/2013","Clear"
"10/11/2013","Clear"
"10/12/2013","Fog"
"10/13/2013","Clear"
"10/14/2013","Clear"
"10/15/2013","Clear"
"10/16/2013","Clear"
"10/17/2013","Clear"
"10/18/2013","Clear"
"10/19/2013","Clear"
"10/20/2013","Fog"
"10/21/2013","Clear"
"10/22/2013","Fog"
"10/23/2013","Fog"
"10/24/2013","Clear"
"10/25/2013","Clear"
"10/26/2013","Fog"
"10/27/2013","Rain"
"10/28/2013","Clear"
"10/29/2013","Clear"
"10/30/2013","Clear"
"10/31/2013","Clear"
"11/1/2013","Clear"
"11/2/2013","Clear"
"11/3/2013","Clear"
"11/4/2013","Clear"
"11/5/2013","Clear"
"11/6/2013","Clear"
"11/7/2013","Clear"
"11/8/2013","Fog"
"11/9/2013","Clear"
"11/10/2013","Clear"
"11/11/2013","Clear"
"11/12/2013","Clear"
"11/13/2013","Fog"
"11/14/2013","Clear"
"11/15/2013","Clear"
"11/16/2013","Clear"
"11/17/2013","Clear"
"11/18/2013","Clear"
"11/19/2013","Rain"
"11/20/2013","Rain"
"11/21/2013","Rain"
"11/22/2013","Clear"
"11/23/2013","Clear"
"11/24/2013","Clear"
"11/25/2013","Clear"
"11/26/2013","Clear"
"11/27/2013","Clear"
"11/28/2013","Clear"
"11/29/2013","Fog"
"11/30/2013","Fog"
"12/1/2013","Clear"
"12/2/2013","Fog-Rain"
"12/3/2013","Clear"
"12/4/2013","Clear"
"12/5/2013","Clear"
"12/6/2013","Rain"
"12/7/2013","Rain"
"12/8/2013","Clear"
"12/9/2013","Clear"
"12/10/2013","Clear"
"12/11/2013","Clear"
"12/12/2013","Clear"
"12/13/2013","Clear"
"12/14/2013","Clear"
"12/15/2013","Clear"
"12/16/2013","Clear"
"12/17/2013","Clear"
"12/18/2013","Clear"
"12/19/2013","Clear"
"12/20/2013","Clear"
"12/21/2013","Clear"
"12/22/2013","Clear"
"12/23/2013","Clear"
"12/24/2013","Clear"
"12/25/2013","Clear"
"12/26/2013","Clear"
"12/27/2013","Clear"
"12/28/2013","Clear"
"12/29/2013","Clear"
"12/30/2013","Clear"
"12/31/2013","Fog"
"1/1/2014","Clear"
"1/2/2014","Clear"
"1/3/2014","Clear"
"1/4/2014","Fog"
"1/5/2014","Clear"
"1/6/2014","Clear"
"1/7/2014","Rain"
"1/8/2014","Clear"
"1/9/2014","Clear"
"1/10/2014","Clear"
"1/11/2014","Clear"
"1/12/2014","Clear"
"1/13/2014","Clear"
"1/14/2014","Clear"
"1/15/2014","Clear"
"1/16/2014","Clear"
"1/17/2014","Clear"
"1/18/2014","Clear"
"1/19/2014","Clear"
"1/20/2014","Clear"
"1/21/2014","Clear"
"1/22/2014","Clear"
"1/23/2014","Clear"
"1/24/2014","Clear"
"1/25/2014","Clear"
"1/26/2014","Clear"
"1/27/2014","Clear"
"1/28/2014","Clear"
"1/29/2014","Rain"
"1/30/2014","Rain"
"1/31/2014","Clear"
"2/1/2014","Clear"
"2/2/2014","Rain"
"2/3/2014","Clear"
"2/4/2014","Clear"
"2/5/2014","Rain"
"2/6/2014","Rain"
"2/7/2014","Rain"
"2/8/2014","Rain"
"2/9/2014","Rain"
"2/10/2014","Rain"
"2/11/2014","Clear"
"2/12/2014","Fog"
"2/13/2014","Fog"
"2/14/2014","Clear"
"2/15/2014","Rain"
"2/16/2014","Clear"
"2/17/2014","Clear"
"2/18/2014","Clear"
"2/19/2014","Clear"
"2/20/2014","Clear"
"2/21/2014","Clear"
"2/22/2014","Clear"
"2/23/2014","Clear"
"2/24/2014","Clear"
"2/25/2014","Clear"
"2/26/2014","Rain"
"2/27/2014","Rain"
"2/28/2014","Rain"
"8/29/2013","Clear"
"8/30/2013","Clear"
"8/31/2013","Clear"
"9/1/2013","Clear"
"9/2/2013","Clear"
"9/3/2013","Clear"
"9/4/2013","Clear"
"9/5/2013","Clear"
"9/6/2013","Clear"
"9/7/2013","Clear"
"9/8/2013","Clear"
"9/9/2013","Clear"
"9/10/2013","Clear"
"9/11/2013","Clear"
"9/12/2013","Clear"
"9/13/2013","Clear"
"9/14/2013","Clear"
"9/15/2013","Clear"
"9/16/2013","Clear"
"9/17/2013","Clear"
"9/18/2013","Clear"
"9/19/2013","Clear"
"9/20/2013","Clear"
"9/21/2013","Rain"
"9/22/2013","Clear"
"9/23/2013","Clear"
"9/24/2013","Clear"
"9/25/2013","Clear"
"9/26/2013","Clear"
"9/27/2013","Clear"
"9/28/2013","Clear"
"9/29/2013","Clear"
"9/30/2013","Clear"
"10/1/2013","Clear"
"10/2/2013","Clear"
"10/3/2013","Clear"
"10/4/2013","Clear"
"10/5/2013","Clear"
"10/6/2013","Clear"
"10/7/2013","Clear"
"10/8/2013","Clear"
"10/9/2013","Clear"
"10/10/2013","Clear"
"10/11/2013","Clear"
"10/12/2013","Clear"
"10/13/2013","Clear"
"10/14/2013","Clear"
"10/15/2013","Clear"
"10/16/2013","Clear"
"10/17/2013","Clear"
"10/18/2013","Clear"
"10/19/2013","Clear"
"10/20/2013","Clear"
"10/21/2013","Clear"
"10/22/2013","Clear"
"10/23/2013","Clear"
"10/24/2013","Clear"
"10/25/2013","Clear"
"10/26/2013","Clear"
"10/27/2013","Clear"
"10/28/2013","Clear"
"10/29/2013","Rain"
"10/30/2013","Clear"
"10/31/2013","Clear"
"11/1/2013","Clear"
"11/2/2013","Clear"
"11/3/2013","Clear"
"11/4/2013","Clear"
"11/5/2013","Clear"
"11/6/2013","Clear"
"11/7/2013","Clear"
"11/8/2013","Fog"
"11/9/2013","Clear"
"11/10/2013","Clear"
"11/11/2013","Clear"
"11/12/2013","Clear"
"11/13/2013","Clear"
"11/14/2013","Clear"
"11/15/2013","Clear"
"11/16/2013","Clear"
"11/17/2013","Clear"
"11/18/2013","Clear"
"11/19/2013","Rain"
"11/20/2013","Rain"
"11/21/2013","Rain"
"11/22/2013","Clear"
"11/23/2013","Clear"
"11/24/2013","Clear"
"11/25/2013","Clear"
"11/26/2013","Clear"
"11/27/2013","Clear"
"11/28/2013","Clear"
"11/29/2013","Clear"
"11/30/2013","Clear"
"12/1/2013","Clear"
"12/2/2013","Fog"
"12/3/2013","Clear"
"12/4/2013","Clear"
"12/5/2013","Clear"
"12/6/2013","Rain"
"12/7/2013","Rain"
"12/8/2013","Clear"
"12/9/2013","Clear"
"12/10/2013","Clear"
"12/11/2013","Clear"
"12/12/2013","Clear"
"12/13/2013","Clear"
"12/14/2013","Fog"
"12/15/2013","Clear"
"12/16/2013","Clear"
"12/17/2013","Clear"
"12/18/2013","Clear"
"12/19/2013","Clear"
"12/20/2013","Clear"
"12/21/2013","Clear"
"12/22/2013","Clear"
"12/23/2013","Clear"
"12/24/2013","Clear"
"12/25/2013","Clear"
"12/26/2013","Clear"
"12/27/2013","Clear"
"12/28/2013","Clear"
"12/29/2013","Clear"
"12/30/2013","Clear"
"12/31/2013","Fog"
"1/1/2014","Clear"
"1/2/2014","Clear"
"1/3/2014","Clear"
"1/4/2014","Fog"
"1/5/2014","Clear"
"1/6/2014","Clear"
"1/7/2014","Clear"
"1/8/2014","Clear"
"1/9/2014","Clear"
"1/10/2014","Clear"
"1/11/2014","Clear"
"1/12/2014","Clear"
"1/13/2014","Clear"
"1/14/2014","Clear"
"1/15/2014","Clear"
"1/16/2014","Clear"
"1/17/2014","Clear"
"1/18/2014","Clear"
"1/19/2014","Clear"
"1/20/2014","Clear"
"1/21/2014","Clear"
"1/22/2014","Clear"
"1/23/2014","Clear"
"1/24/2014","Clear"
"1/25/2014","Clear"
"1/26/2014","Clear"
"1/27/2014","Clear"
"1/28/2014","Clear"
"1/29/2014","Clear"
"1/30/2014","Rain"
"1/31/2014","Clear"
"2/1/2014","Clear"
"2/2/2014","Rain"
"2/3/2014","Clear"
"2/4/2014","Clear"
"2/5/2014","Rain"
"2/6/2014","Rain"
"2/7/2014","Rain"
"2/8/2014","Rain"
"2/9/2014","Rain"
"2/10/2014","Clear"
"2/11/2014","Fog"
"2/12/2014","Clear"
"2/13/2014","Fog"
"2/14/2014","Clear"
"2/15/2014","Rain"
"2/16/2014","Rain"
"2/17/2014","Clear"
"2/18/2014","Clear"
"2/19/2014","Clear"
"2/20/2014","Clear"
"2/21/2014","Clear"
"2/22/2014","Clear"
"2/23/2014","Clear"
"2/24/2014","Clear"
"2/25/2014","Clear"
"2/26/2014","Rain"
"2/27/2014","Rain"
"2/28/2014","Rain"
"8/29/2013","Clear"
"8/30/2013","Clear"
"8/31/2013","Clear"
"9/1/2013","Clear"
"9/2/2013","Clear"
"9/3/2013","Clear"
"9/4/2013","Clear"
"9/5/2013","Clear"
"9/6/2013","Clear"
"9/7/2013","Clear"
"9/8/2013","Clear"
"9/9/2013","Clear"
"9/10/2013","Clear"
"9/11/2013","Clear"
"9/12/2013","Clear"
"9/13/2013","Clear"
"9/14/2013","Clear"
"9/15/2013","Clear"
"9/16/2013","Clear"
"9/17/2013","Clear"
"9/18/2013","Clear"
"9/19/2013","Clear"
"9/20/2013","Clear"
"9/21/2013","Rain"
"9/22/2013","Clear"
"9/23/2013","Clear"
"9/24/2013","Clear"
"9/25/2013","Clear"
"9/26/2013","Clear"
"9/27/2013","Clear"
"9/28/2013","Clear"
"9/29/2013","Clear"
"9/30/2013","Clear"
"10/1/2013","Clear"
"10/2/2013","Clear"
"10/3/2013","Clear"
"10/4/2013","Clear"
"10/5/2013","Clear"
"10/6/2013","Clear"
"10/7/2013","Clear"
"10/8/2013","Clear"
"10/9/2013","Clear"
"10/10/2013","Clear"
"10/11/2013","Clear"
"10/12/2013","Clear"
"10/13/2013","Clear"
"10/14/2013","Clear"
"10/15/2013","Clear"
"10/16/2013","Clear"
"10/17/2013","Clear"
"10/18/2013","Clear"
"10/19/2013","Clear"
"10/20/2013","Clear"
"10/21/2013","Clear"
"10/22/2013","Clear"
"10/23/2013","Clear"
"10/24/2013","Clear"
"10/25/2013","Clear"
"10/26/2013","Clear"
"10/27/2013","Clear"
"10/28/2013","Clear"
"10/29/2013","Clear"
"10/30/2013","Clear"
"10/31/2013","Clear"
"11/1/2013","Clear"
"11/2/2013","Clear"
"11/3/2013","Clear"
"11/4/2013","Clear"
"11/5/2013","Clear"
"11/6/2013","Clear"
"11/7/2013","Clear"
"11/8/2013","Clear"
"11/9/2013","Clear"
"11/10/2013","Clear"
"11/11/2013","Clear"
"11/12/2013","Clear"
"11/13/2013","Clear"
"11/14/2013","Clear"
"11/15/2013","Clear"
"11/16/2013","Clear"
"11/17/2013","Clear"
"11/18/2013","Clear"
"11/19/2013","Rain"
"11/20/2013","Rain"
"11/21/2013","Rain"
"11/22/2013","Clear"
"11/23/2013","Clear"
"11/24/2013","Clear"
"11/25/2013","Clear"
"11/26/2013","Clear"
"11/27/2013","Clear"
"11/28/2013","Clear"
"11/29/2013","Clear"
"11/30/2013","Clear"
"12/1/2013","Clear"
"12/2/2013","Clear"
"12/3/2013","Clear"
"12/4/2013","Clear"
"12/5/2013","Clear"
"12/6/2013","Rain"
"12/7/2013","Clear"
"12/8/2013","Clear"
"12/9/2013","Clear"
"12/10/2013","Clear"
"12/11/2013","Clear"
"12/12/2013","Clear"
"12/13/2013","Clear"
"12/14/2013","Clear"
"12/15/2013","Clear"
"12/16/2013","Clear"
"12/17/2013","Clear"
"12/18/2013","Clear"
"12/19/2013","Clear"
"12/20/2013","Clear"
"12/21/2013","Clear"
"12/22/2013","Fog"
"12/23/2013","Clear"
"12/24/2013","Clear"
"12/25/2013","Clear"
"12/26/2013","Clear"
"12/27/2013","Clear"
"12/28/2013","Clear"
"12/29/2013","Clear"
"12/30/2013","Clear"
"12/31/2013","Fog"
"1/1/2014","Clear"
"1/2/2014","Clear"
"1/3/2014","Clear"
"1/4/2014","Clear"
"1/5/2014","Clear"
"1/6/2014","Clear"
"1/7/2014","Clear"
"1/8/2014","Rain"
"1/9/2014","Rain"
"1/10/2014","Clear"
"1/11/2014","Clear"
"1/12/2014","Clear"
"1/13/2014","Clear"
"1/14/2014","Clear"
"1/15/2014","Clear"
"1/16/2014","Clear"
"1/17/2014","Clear"
"1/18/2014","Clear"
"1/19/2014","Clear"
"1/20/2014","Clear"
"1/21/2014","Clear"
"1/22/2014","Clear"
"1/23/2014","Clear"
"1/24/2014","Clear"
"1/25/2014","Clear"
"1/26/2014","Clear"
"1/27/2014","Fog"
"1/28/2014","Rain"
"1/29/2014","Rain"
"1/30/2014","Rain"
"1/31/2014","Clear"
"2/1/2014","Clear"
"2/2/2014","Rain"
"2/3/2014","Clear"
"2/4/2014","Clear"
"2/5/2014","Rain"
"2/6/2014","Rain"
"2/7/2014","Rain"
"2/8/2014","Rain"
"2/9/2014","Rain"
"2/10/2014","Rain"
"2/11/2014","Fog"
"2/12/2014","Clear"
"2/13/2014","Fog"
"2/14/2014","Clear"
"2/15/2014","Rain"
"2/16/2014","Rain"
"2/17/2014","Clear"
"2/18/2014","Clear"
"2/19/2014","Rain"
"2/20/2014","Clear"
"2/21/2014","Clear"
"2/22/2014","Clear"
"2/23/2014","Clear"
"2/24/2014","Clear"
"2/25/2014","Clear"
"2/26/2014","Rain"
"2/27/2014","Rain"
"2/28/2014","Rain"
"8/29/2013","Clear"
"8/30/2013","Clear"
"8/31/2013","Clear"
"9/1/2013","Clear"
"9/2/2013","Clear"
"9/3/2013","Rain"
"9/4/2013","Clear"
"9/5/2013","Clear"
"9/6/2013","Clear"
"9/7/2013","Clear"
"9/8/2013","Clear"
"9/9/2013","Clear"
"9/10/2013","Clear"
"9/11/2013","Clear"
"9/12/2013","Clear"
"9/13/2013","Clear"
"9/14/2013","Clear"
"9/15/2013","Clear"
"9/16/2013","Clear"
"9/17/2013","Clear"
"9/18/2013","Clear"
"9/19/2013","Clear"
"9/20/2013","Clear"
"9/21/2013","Rain"
"9/22/2013","Clear"
"9/23/2013","Clear"
"9/24/2013","Clear"
"9/25/2013","Clear"
"9/26/2013","Clear"
"9/27/2013","Clear"
"9/28/2013","Clear"
"9/29/2013","Clear"
"9/30/2013","Clear"
"10/1/2013","Clear"
"10/2/2013","Clear"
"10/3/2013","Clear"
"10/4/2013","Clear"
"10/5/2013","Clear"
"10/6/2013","Clear"
"10/7/2013","Clear"
"10/8/2013","Clear"
"10/9/2013","Clear"
"10/10/2013","Clear"
"10/11/2013","Clear"
"10/12/2013","Clear"
"10/13/2013","Clear"
"10/14/2013","Clear"
"10/15/2013","Clear"
"10/16/2013","Clear"
"10/17/2013","Clear"
"10/18/2013","Clear"
"10/19/2013","Clear"
"10/20/2013","Clear"
"10/21/2013","Clear"
"10/22/2013","Clear"
"10/23/2013","Clear"
"10/24/2013","Clear"
"10/25/2013","Clear"
"10/26/2013","Clear"
"10/27/2013","Clear"
"10/28/2013","Clear"
"10/29/2013","Clear"
"10/30/2013","Clear"
"10/31/2013","Clear"
"11/1/2013","Clear"
"11/2/2013","Clear"
"11/3/2013","Clear"
"11/4/2013","Clear"
"11/5/2013","Clear"
"11/6/2013","Clear"
"11/7/2013","Clear"
"11/8/2013","Clear"
"11/9/2013","Clear"
"11/10/2013","Clear"
"11/11/2013","Clear"
"11/12/2013","Clear"
"11/13/2013","Clear"
"11/14/2013","Clear"
"11/15/2013","Clear"
"11/16/2013","Clear"
"11/17/2013","Clear"
"11/18/2013","Clear"
"11/19/2013","Rain"
"11/20/2013","Rain"
"11/21/2013","Clear"
"11/22/2013","Clear"
"11/23/2013","Clear"
"11/24/2013","Clear"
"11/25/2013","Clear"
"11/26/2013","Clear"
"11/27/2013","Clear"
"11/28/2013","Clear"
"11/29/2013","Clear"
"11/30/2013","Clear"
"12/1/2013","Clear"
"12/2/2013","Clear"
"12/3/2013","Clear"
"12/4/2013","Clear"
"12/5/2013","Clear"
"12/6/2013","Rain"
"12/7/2013","Rain"
"12/8/2013","Clear"
"12/9/2013","Clear"
"12/10/2013","Clear"
"12/11/2013","Clear"
"12/12/2013","Clear"
"12/13/2013","Clear"
"12/14/2013","Clear"
"12/15/2013","Clear"
"12/16/2013","Clear"
"12/17/2013","Clear"
"12/18/2013","Clear"
"12/19/2013","Clear"
"12/20/2013","Clear"
"12/21/2013","Clear"
"12/22/2013","Clear"
"12/23/2013","Clear"
"12/24/2013","Clear"
"12/25/2013","Clear"
"12/26/2013","Clear"
"12/27/2013","Clear"
"12/28/2013","Clear"
"12/29/2013","Clear"
"12/30/2013","Clear"
"12/31/2013","Fog"
"1/1/2014","Clear"
"1/2/2014","Clear"
"1/3/2014","Clear"
"1/4/2014","Clear"
"1/5/2014","Clear"
"1/6/2014","Clear"
"1/7/2014","Clear"
"1/8/2014","Clear"
"1/9/2014","Clear"
"1/10/2014","Clear"
"1/11/2014","Clear"
"1/12/2014","Clear"
"1/13/2014","Clear"
"1/14/2014","Clear"
"1/15/2014","Clear"
"1/16/2014","Clear"
"1/17/2014","Clear"
"1/18/2014","Clear"
"1/19/2014","Clear"
"1/20/2014","Clear"
"1/21/2014","Clear"
"1/22/2014","Clear"
"1/23/2014","Clear"
"1/24/2014","Clear"
"1/25/2014","Clear"
"1/26/2014","Clear"
"1/27/2014","Clear"
"1/28/2014","Clear"
"1/29/2014","Clear"
"1/30/2014","Rain"
"1/31/2014","Clear"
"2/1/2014","Clear"
"2/2/2014","Rain"
"2/3/2014","Clear"
"2/4/2014","Clear"
"2/5/2014","Clear"
"2/6/2014","Rain"
"2/7/2014","Rain"
"2/8/2014","Rain"
"2/9/2014","Rain"
"2/10/2014","Clear"
"2/11/2014","Fog"
"2/12/2014","Clear"
"2/13/2014","Fog"
"2/14/2014","Clear"
"2/15/2014","Clear"
"2/16/2014","Rain"
"2/17/2014","Clear"
"2/18/2014","Clear"
"2/19/2014","Rain"
"2/20/2014","Clear"
"2/21/2014","Clear"
"2/22/2014","Clear"
"2/23/2014","Clear"
"2/24/2014","Clear"
"2/25/2014","Clear"
"2/26/2014","Rain"
"2/27/2014","Rain"
"2/28/2014","Rain"
"8/29/2013","Clear"
"8/30/2013","Clear"
"8/31/2013","Clear"
"9/1/2013","Clear"
"9/2/2013","Rain"
"9/3/2013","Clear"
"9/4/2013","Clear"
"9/5/2013","Clear"
"9/6/2013","Clear"
"9/7/2013","Clear"
"9/8/2013","Clear"
"9/9/2013","Clear"
"9/10/2013","Clear"
"9/11/2013","Clear"
"9/12/2013","Clear"
"9/13/2013","Clear"
"9/14/2013","Clear"
"9/15/2013","Clear"
"9/16/2013","Clear"
"9/17/2013","Clear"
"9/18/2013","Clear"
"9/19/2013","Clear"
"9/20/2013","Clear"
"9/21/2013","Rain"
"9/22/2013","Clear"
"9/23/2013","Clear"
"9/24/2013","Clear"
"9/25/2013","Clear"
"9/26/2013","Clear"
"9/27/2013","Clear"
"9/28/2013","Clear"
"9/29/2013","Clear"
"9/30/2013","Clear"
"10/1/2013","Clear"
"10/2/2013","Clear"
"10/3/2013","Clear"
"10/4/2013","Clear"
"10/5/2013","Clear"
"10/6/2013","Clear"
"10/7/2013","Clear"
"10/8/2013","Clear"
"10/9/2013","Clear"
"10/10/2013","Clear"
"10/11/2013","Clear"
"10/12/2013","Clear"
"10/13/2013","Clear"
"10/14/2013","Clear"
"10/15/2013","Clear"
"10/16/2013","Clear"
"10/17/2013","Clear"
"10/18/2013","Clear"
"10/19/2013","Clear"
"10/20/2013","Clear"
"10/21/2013","Clear"
"10/22/2013","Clear"
"10/23/2013","Clear"
"10/24/2013","Clear"
"10/25/2013","Clear"
"10/26/2013","Clear"
"10/27/2013","Clear"
"10/28/2013","Clear"
"10/29/2013","Clear"
"10/30/2013","Clear"
"10/31/2013","Clear"
"11/1/2013","Clear"
"11/2/2013","Clear"
"11/3/2013","Clear"
"11/4/2013","Clear"
"11/5/2013","Clear"
"11/6/2013","Clear"
"11/7/2013","Clear"
"11/8/2013","Clear"
"11/9/2013","Clear"
"11/10/2013","Fog"
"11/11/2013","Clear"
"11/12/2013","Clear"
"11/13/2013","Clear"
"11/14/2013","Clear"
"11/15/2013","Clear"
"11/16/2013","Clear"
"11/17/2013","Clear"
"11/18/2013","Clear"
"11/19/2013","Rain"
"11/20/2013","Rain"
"11/21/2013","Rain"
"11/22/2013","Clear"
"11/23/2013","Clear"
"11/24/2013","Clear"
"11/25/2013","Clear"
"11/26/2013","Clear"
"11/27/2013","Clear"
"11/28/2013","Clear"
"11/29/2013","Clear"
"11/30/2013","Clear"
"12/1/2013","Clear"
"12/2/2013","Clear"
"12/3/2013","Rain"
"12/4/2013","Clear"
"12/5/2013","Clear"
"12/6/2013","Rain"
"12/7/2013","Rain"
"12/8/2013","Clear"
"12/9/2013","Clear"
"12/10/2013","Clear"
"12/11/2013","Clear"
"12/12/2013","Clear"
"12/13/2013","Clear"
"12/14/2013","Clear"
"12/15/2013","Clear"
"12/16/2013","Clear"
"12/17/2013","Clear"
"12/18/2013","Clear"
"12/19/2013","Clear"
"12/20/2013","Clear"
"12/21/2013","Clear"
"12/22/2013","Clear"
"12/23/2013","Clear"
"12/24/2013","Clear"
"12/25/2013","Clear"
"12/26/2013","Clear"
"12/27/2013","Clear"
"12/28/2013","Clear"
"12/29/2013","Clear"
"12/30/2013","Clear"
"12/31/2013","Fog"
"1/1/2014","Clear"
"1/2/2014","Clear"
"1/3/2014","Clear"
"1/4/2014","Clear"
"1/5/2014","Clear"
"1/6/2014","Clear"
"1/7/2014","Clear"
"1/8/2014","Rain"
"1/9/2014","Rain"
"1/10/2014","Clear"
"1/11/2014","Clear"
"1/12/2014","Clear"
"1/13/2014","Clear"
"1/14/2014","Clear"
"1/15/2014","Clear"
"1/16/2014","Clear"
"1/17/2014","Clear"
"1/18/2014","Clear"
"1/19/2014","Clear"
"1/20/2014","Clear"
"1/21/2014","Clear"
"1/22/2014","Clear"
"1/23/2014","Clear"
"1/24/2014","Clear"
"1/25/2014","Clear"
"1/26/2014","Clear"
"1/27/2014","Fog"
"1/28/2014","Clear"
"1/29/2014","Rain"
"1/30/2014","Rain"
"1/31/2014","Clear"
"2/1/2014","Clear"
"2/2/2014","Rain"
"2/3/2014","Clear"
"2/4/2014","Clear"
"2/5/2014","Rain"
"2/6/2014","Rain"
"2/7/2014","Rain"
"2/8/2014","Rain"
"2/9/2014","Clear"
"2/10/2014","Clear"
"2/11/2014","Clear"
"2/12/2014","Clear"
"2/13/2014","Fog"
